udise_code,school_name,district,village,longitude,latitude,school_category,management
18050607105,KAYAKUCHI MILAN ME SCHOOL,BARPETA,KAYAKUCHI GAON,91.0984670001093,26.4151170002846,Upper Primary only,Department of Education
18070400111,GOPALTHAN LPS,NALBARI,BANGAON,91.386217000327,26.4151329998951,Primary,Department of Education
18101013501,SAMAGURI GRANT TRIBEL LPS,NAGAON,SAMAGURI GRANT,92.864199999778,26.4151329998951,Primary,Department of Education
18010218202,PAIKERTOLA LPS (UE),KOKRAJHAR,USHATARI,90.0611329997728,26.4151500003336,Primary,Department of Education
18100207615,PUB CHATIAN TINSUKIA HS,NAGAON,TINISUKIA,92.6763669999053,26.415166999965,Secondary Only,Government Aided
18010205206,MADHYA KACHUKATA LPS (UE),KOKRAJHAR,KACHUKATA,90.108266999961,26.4151830003731,Primary,Department of Education
18010521501,NO. 815 BORO SINGIMARI LPS,KOKRAJHAR,BORO SINGIMARI,90.3177330003338,26.4151830003731,Primary,Department of Education
18070202202,NO 910 SUTARKUCHI LPS,NALBARI,BALILECHA,91.4627000001981,26.4151830003731,Primary,Department of Education
18060812105,MADHUKUCHI MVS,KAMRUP-RURAL,MADHUKUCHI,91.6719000004321,26.4152499996442,Primary with Upper Primary,Department of Education
18070404216,ST. MARY'S SCHOOL PANIGAON,NALBARI,PANIGAON,91.3871100002795,26.4152599998923,Pri. Upper Pri. and Secondary Only,Private Unaided (Recognized)
18080211704,NO.40 MOWAMARI L.P.SCHOOL,DARRANG,MOWAMARI,92.0363169997457,26.4152829996552,Primary,Department of Education
18080111606,MUSLIMGHOPA HIGH MADRASSA,DARRANG,MUSLIMGHOPA,91.9087830000945,26.4153000000716,Secondary Only,Department of Education
18080111604,MUSLIMGHOPA ME MADRASSA,DARRANG,MUSLIMGHOPA,91.908767000201,26.4153330000682,Upper Primary only,Department of Education
18100207605,TINISUKIA HATIPARA MKB.,NAGAON,TINISUKIA,92.6808669998283,26.4153670000792,Primary,Department of Education
18010516201,DALOABARI BAGICHA LPS (TG),KOKRAJHAR,DALOABARI BAGICHA,90.2020830004258,26.415382999655,Primary,Local body
18100902904,262 NO. ROWMARI BARPETA MKB.,NAGAON,BARPETA,92.7090499997472,26.415382999655,Primary,Department of Education
18100903020,HATIPARA BILPAR PRATHAMIK BIDYALAYA,NAGAON,HATIPARA,92.6922669998729,26.4154000000567,Primary,Unrecognized
18070206801,BAJALI UDAYPUR LPS,NALBARI,BAJALI UDAYPUR,91.4928000004418,26.4154330000247,Primary,Department of Education
18090101704,UTTAR LENGRIBORI LP,MORIGAON,LENGRIBORI,92.4138329998686,26.4154999999551,Primary,Department of Education
18010516202,DALOABARI BAGICHA MES (NP),KOKRAJHAR,DALOABARI BAGICHA,90.2021999997034,26.4155170003396,Upper Primary only,Department of Education
